,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,pose
row_10,3255.8111124572324,3003.0166499704924,2868.071477491452,2754.426619098792,2496.673386728829,3329.9611108840295,3582.823467602053,3969.703767285413,2591.69307596405,2378.4719884833626,2596.713692342689,790.4804128162561,2798.2458791178447,2859.8195747284476,923.4141987108429,3297.98256514494,3360.531654366612,3194.621886859226,3426.9978114962373,975.5708415954293,974.866534903743,935.7731703286104,789.2594645531603,794.1783243773126,803.7967387468432,2
row_11,288.9792380085462,279.3796699833401,251.60683615514105,217.3131381210073,210.16184239771025,312.65636088203934,357.8002235885271,398.8997367760475,270.5198698801994,252.80031645549812,278.9928314491252,296.70861126701396,288.76461001999536,298.93979326948096,304.63748948545384,283.30195904723286,299.0819285747636,267.4060582709375,314.58703088334715,975.5708415954293,974.866534903743,295.14742079171214,295.14742079171214,295.14742079171214,295.14742079171214,2
row_12,276.68212808202844,333.76788341600513,340.93107807883985,508.36916282144443,485.74080053884484,311.8108400937979,292.4055403031892,272.07719492820416,447.23260167389407,439.94772416731513,546.8061813842269,662.0430499597439,449.87220407577973,557.584074378026,652.6944154809355,276.68212808202844,270.1481075262235,289.38555596297476,275.3924472457442,675.3702688155587,670.481916236374,666.2086760167567,667.1146827944953,667.1146827944953,662.0430499597439,2
row_13,516.895540704309,574.634666549104,603.6132867987583,656.128798331547,683.8515920870551,547.661391737632,501.0039920000638,423.3414697380827,748.315441508459,747.7031496523202,927.1073292774682,1070.6059032155576,744.043009509531,880.0,1057.854432329893,498.8757360305269,478.00627610942513,527.6229714483629,486.7329863487783,1075.0,1095.9110365353567,1087.1504035780881,1101.374141697543,1101.374141697543,1093.0553508400203,2
row_14,877.3984271697778,795.0628905941969,760.2532472801415,508.36916282144443,485.74080053884484,835.6267109182186,706.5689153840887,743.1745750300039,719.4504847451283,681.5350321150044,650.6627390591842,646.8237781652743,748.315441508459,717.2795828684934,646.8237781652743,872.0366964755555,552.7307144343027,862.2441649556116,569.461772433292,643.5293311108671,643.5293311108671,657.597141113007,643.5293311108671,618.9709201569974,632.5164029493623,2
row_15,1816.5131433601025,1780.0,1666.3601051393423,1573.5107244629762,1479.7148373926645,1863.4859806287784,2013.8401128192872,2173.5604431439215,1612.7901289380463,1515.6153865674496,1552.8502825449723,1620.3052181610722,1647.8036897640447,1673.1891704167822,1674.9701489877364,555.6192857136945,1840.0557056784992,551.9123737134424,1888.9118560695204,1651.1826064975369,1662.657210611977,1662.657210611977,1608.5285201077413,1564.9821085239282,1620.3052181610722,2
row_16,1682.4520795553137,1966.0724808612729,2115.0718663913053,2450.9249274508593,2800.496027492273,1820.9494776077672,1603.7222328071655,1459.2909237023302,2675.857245818618,2651.0460199702306,3300.471784457489,3915.802344347835,2663.0698451223543,3289.110062007655,3952.147390976202,1627.4400142555178,1630.0,1845.4563121352942,569.461772433292,4032.8338671460297,4069.4554918318004,3952.147390976202,4074.1335275123224,4074.1335275123224,4032.8338671460297,2
row_17,552.2513988988476,593.8088918162139,579.3323743758845,508.36916282144443,485.74080053884484,588.8098164942564,622.9454229705841,652.4492317414437,704.3869675114667,720.1472071736445,821.8223652347264,917.0414385402657,689.2154960533027,807.1728439436005,924.4311764539316,555.6192857136945,552.7307144343027,535.5837936308379,522.6030998759958,931.429009640563,931.429009640563,924.4311764539316,946.52680891774,939.3109176412249,939.3109176412249,2
row_18,176.70597047072292,212.6240814207083,231.62469643800938,279.5084971874737,314.8745782053546,193.72403051764127,142.80056022299073,122.93087488503447,298.6134625230417,289.35272592460575,368.70177650778953,435.71779858068686,295.65182225043026,374.1924638471491,447.04026664272646,183.8069639594757,169.6850022836432,198.2145302443794,569.461772433292,465.55987799637546,468.6000426803224,447.04026664272646,456.98687070855766,454.47222137332,449.2849875079291,2
row_19,317.00157728314224,576.366966010931,541.3725861545839,554.4303382752427,654.8320395338029,622.220758846714,554.4303382752427,654.8320395338029,431.7893004695693,437.2482132610721,684.5744162168027,790.4804128162561,712.9463237845083,832.4125457451918,923.4141987108429,315.06983352901307,317.00157728314224,322.8652969893172,569.461772433292,975.5708415954293,974.866534903743,935.7731703286104,789.2594645531603,794.1783243773126,803.7967387468432,2
row_20,276.68212808202844,333.76788341600513,340.93107807883985,508.36916282144443,485.74080053884484,311.8108400937979,292.4055403031892,272.07719492820416,447.23260167389407,439.94772416731513,546.8061813842269,662.0430499597439,449.87220407577973,557.584074378026,652.6944154809355,276.68212808202844,270.1481075262235,289.38555596297476,275.3924472457442,675.3702688155587,670.481916236374,666.2086760167567,667.1146827944953,667.1146827944953,662.0430499597439,2
row_21,1410.332230362761,1337.0673131895792,1274.6548552451366,1132.4720747108954,1093.7591142477397,1382.985177071685,1420.0327461013003,1501.5325504297268,1115.6330041729673,1044.7889739081286,943.8273147138729,922.8672710633962,1172.4035141537233,1041.0235347964042,966.8298712803613,1433.240035723256,1451.704170965972,1392.0793799205562,1471.3752070766993,926.6461028893393,949.0732321586148,980.5860492582995,896.8439106109826,896.8439106109826,912.9342802195566,2
row_22,195.04102132628407,253.64542179980305,267.44158240632663,325.77906623968335,375.31053808812777,248.3646512690564,307.8246253956951,330.92597359530424,355.87778801155883,358.62096982747676,451.9347298006649,558.2436743931811,359.5622338344226,453.54161881794266,542.0332093147061,195.47378340841516,195.04102132628407,225.42404485768594,569.461772433292,578.6898996872159,578.6898996872159,557.826137788469,584.0898903422315,573.9982578370774,568.317692844416,2
row_23,461.8625336612616,585.9214964481164,615.0447138216863,703.0732536514242,485.74080053884484,555.068464245628,498.96392655180995,440.3691633164157,783.6612788698955,785.1808708826267,947.1963893512263,1109.2141362243813,784.1817391395952,957.2277680886614,1109.7333012936035,456.4263357870578,461.8625336612616,507.42487128638066,569.461772433292,1158.297025809874,1149.3389404348918,1119.008489690762,1157.2467325510147,1138.0070298552641,1128.434313551303,2
row_24,204.78769494283586,178.05897899291685,169.19810873647495,147.58048651498612,485.74080053884484,185.0,212.1508896988179,227.6686188300882,151.74320413119,139.8177385026664,149.6963593411677,165.77394246382633,160.4306703844374,162.04937519163718,169.75570682601514,202.80532537386685,202.80532537386685,191.47062437878037,569.461772433292,975.5708415954293,974.866534903743,169.42549985170473,789.2594645531603,794.1783243773126,169.42549985170473,2
row_25,1245.7146543249783,1171.2975710723556,1109.2488449396735,1025.5266939480416,994.9839194680485,1234.701583379563,1308.1150561017178,1404.7127820305473,1029.516391321673,987.8512033702242,929.948923328588,932.4403466174123,1085.624704951025,987.7104838969767,968.8926669141428,1236.9227946804117,1278.0140844294322,1205.4617372608723,1264.7916824520946,953.0676786042008,973.801314437396,968.8926669141428,932.4403466174123,932.4403466174123,932.4403466174123,2
row_26,461.8625336612616,585.9214964481164,615.0447138216863,703.0732536514242,485.74080053884484,555.068464245628,498.96392655180995,440.3691633164157,783.6612788698955,785.1808708826267,947.1963893512263,1109.2141362243813,784.1817391395952,957.2277680886614,1109.7333012936035,456.4263357870578,461.8625336612616,507.42487128638066,569.461772433292,1158.297025809874,1149.3389404348918,1119.008489690762,1157.2467325510147,1138.0070298552641,1128.434313551303,2
row_27,903.6924255519684,863.3799858694896,890.1887440312869,970.7816438314024,1070.4601814173193,839.5004466943421,818.8852178419146,842.7318672033234,701.6701504268227,743.790965258385,724.6385305792123,735.8620794687005,658.9764790946639,653.7927806270118,719.4025298815677,555.6192857136945,903.6924255519684,551.9123737134424,917.7390696706772,679.1590388119707,691.3327708130145,729.8664261356321,789.2594645531603,794.1783243773126,753.3160027505057,2
row_28,643.9440969525227,737.2001085187115,643.0031104123836,739.1380114701178,791.3058827027637,860.2371765972451,1025.2902028206454,869.0466040437648,680.9367463858883,655.5139542352499,684.5744162168027,790.4804128162561,712.9463237845083,832.4125457451918,923.4141987108429,607.6158325784476,653.5028691597306,576.9055381949457,699.8121176430143,975.5708415954293,974.866534903743,935.7731703286104,789.2594645531603,794.1783243773126,803.7967387468432,3
row_29,537.5872022286245,569.8780571315235,524.1068593330943,528.3190324037172,554.6674679481391,613.8615479079953,650.459837345858,579.1200221024999,589.6236087539236,569.7753943441222,532.6434079194072,638.4794436784946,609.619553492176,656.9901064704095,714.6894430450194,537.5872022286245,559.4461546922993,515.7402446968823,581.3157489695252,975.5708415954293,974.866534903743,723.3947746562731,789.2594645531603,794.1783243773126,638.4794436784946,3
row_30,400.48096084583096,448.4863431588525,398.3013934196063,429.3401914566117,482.34842178657533,514.6775689691557,619.8386886924694,517.2823213681287,658.7085850359019,625.6204919917506,684.5744162168027,790.4804128162561,704.3472155123494,851.9448338947775,1015.4900294931507,376.2352987161093,405.0802389650722,371.63557418524937,443.632730983637,1077.0464242547764,1054.7554218869889,1032.8155692087528,789.2594645531603,794.1783243773126,803.7967387468432,3
row_31,1253.6107848929826,1315.2794379902698,1174.6254722250833,1247.2048749102933,1293.3417955049624,1479.7148373926645,1592.0803999798502,1373.5355838128112,1550.2403039529065,1448.8150330528738,1432.7156033211895,1605.4338977360605,1647.8036897640447,1826.127323052804,2074.6770833071832,1241.5816525706234,1284.2262261766812,1198.0692801336656,1327.9314741356197,2086.2274564390145,2111.516043036377,2048.933869113398,1699.8847019724603,1699.8847019724603,1574.570735152918,3
row_32,592.0354719102564,621.1682541791716,548.854261165931,547.1133337801227,640.0328116589023,693.9985590763139,778.8947297292491,685.1583758518901,758.0639814685829,719.419905201406,912.6017751462025,1097.2351616677256,798.2261584288002,984.9390844108076,923.4141987108429,561.3287806624563,612.2826144845205,535.9272338666883,642.6585407508408,975.5708415954293,974.866534903743,935.7731703286104,1136.8491544615758,1123.3209692692467,1116.5491480449932,3
row_33,733.9128013599436,816.6663945577778,691.4448640347255,785.5660379624363,924.4555154251609,975.7561170702442,1234.91902568549,992.0246972732081,1193.7043184976756,1106.3475945651078,1144.5776513631567,1367.9228779430514,1300.0680751406828,1605.7210218465723,1906.5384863673746,695.8290019825273,753.8255766422362,676.8256791818703,820.5394566990669,2032.2118491928936,2032.2118491928936,1938.3069932288847,1460.5375722657736,1460.5375722657736,1343.5542415548396,3
row_34,931.2964082396109,1028.4439702774284,886.8579367632676,1002.5218202114106,1095.5181422505061,1180.292336669183,1421.287444537522,1180.8001524390145,1461.6760927100095,1383.3658229116404,1454.2413829897703,1579.9272135133315,1570.204126857397,1870.2109506683998,2219.784223747885,844.0290279368359,947.8649692862375,830.119268539166,999.9769997354939,2321.8098544023796,2334.8010621892395,2207.081783713508,1598.9574728553603,1739.9919540043857,1598.9574728553603,3
row_35,2859.0103182744897,576.366966010931,2554.060688394072,2709.834127765019,2966.445010446005,622.220758846714,3303.3693405370223,2966.445010446005,3218.5990741314768,2993.754832981485,3518.714680106928,3914.7711299640496,3332.82297759722,3923.948139310712,3298.6472985149535,2731.0973984828884,2859.0103182744897,2603.291762365486,569.461772433292,975.5708415954293,974.866534903743,3193.635702455745,789.2594645531603,794.1783243773126,4005.0568035921788,3
row_36,1280.9996096798782,1403.6071387678248,1222.351831511697,1323.7522426798755,1542.0765220960989,1602.5292509030842,1981.5461135184314,1640.8388098774358,2019.4982050004403,1943.359976947143,2497.7149557145226,3066.653713740761,2132.0084427600186,2755.8586683645444,923.4141987108429,1159.1777258039424,1248.5271322642532,1115.557259848189,1339.23448282965,975.5708415954293,974.866534903743,935.7731703286104,3190.814942926023,3190.814942926023,3153.2790869188852,3
row_37,606.4189970639112,617.5078946863756,566.1492736019362,547.5226022731847,603.6795507551999,668.1466904804663,717.2447281088931,629.3647591023825,680.943463145069,634.738528844752,594.1927296761548,688.1060964705952,710.9465521401731,744.043009509531,828.9656205175219,604.4245196879425,630.2420170061656,577.6313703392502,632.1550442731593,975.5708415954293,974.866534903743,935.7731703286104,735.2720584926371,726.7048919609665,688.1060964705952,3
row_38,346.80253747629934,352.9546713106373,307.3271872125862,325.0123074592715,347.2463102755737,383.2310008337008,412.6802636424475,377.6188554614295,386.4091096234663,359.0891254271006,356.9313659514949,421.90046219457975,414.2475105537751,832.4125457451918,923.4141987108429,329.8620923962012,345.77593901253454,314.95078980691574,361.69738732813653,975.5708415954293,974.866534903743,935.7731703286104,405.2505397898934,413.25173925828796,430.2859514323004,3
row_39,269.5366394388711,288.6693610343848,256.30060475933334,278.72925931807015,318.1351913888182,332.0557182160849,389.5600082143956,337.3973918097175,380.5180679021694,363.5519220138989,470.68991916122445,557.0278269530168,398.8746670321393,494.00404856640597,430.00465113763596,269.5366394388711,281.2578887782528,257.8410362994999,292.02225942554446,447.6159067772279,447.6159067772279,421.7771923658272,577.7542730261715,561.8941181397079,567.3587930049202,3
row_40,2334.7368160030373,2413.505541737992,2171.959714175196,2210.70870989373,2410.3481076392263,2577.1621990088247,2833.606888755037,2568.318126712499,2640.441061641028,2531.353787995665,2474.211187429238,2796.342074925741,2785.3920729405404,3031.8378914447258,3344.96307901896,2234.584972651521,2319.275964606196,2166.74687031042,2404.131859944458,3444.830619928939,3500.3612670694433,3344.96307901896,789.2594645531603,2838.3454687546405,2755.8944101688658,3
row_41,1454.4861635643015,1499.8683275541223,1377.1437833429013,1353.1430079633121,1523.241280953218,1685.0415425146052,1818.027502542247,1640.1963297117818,1764.3265003961144,1681.733629324216,1982.253515572617,2245.722155566,1818.6280543310663,2152.8160627420075,1914.5090754551152,1446.199502143463,1510.2013110840555,1390.9583027538963,1573.2984459408838,1863.0042941442728,1940.0,1837.4514959584646,2310.8370777707373,2269.5270432405073,2245.722155566,3
row_42,308.9886729315494,317.00157728314224,277.4833328328028,289.1522090526026,317.3846247063648,355.8791929854849,386.2641583165593,342.4675167077894,357.9175882797603,335.0462654619508,324.64442086689246,371.25866993243403,380.4536765494585,416.18505499356894,470.3966411444708,294.15132160165456,321.05451250527534,282.17902119044925,334.8342873721268,975.5708415954293,974.866534903743,477.47041793183377,381.93454936677307,381.93454936677307,382.4042363782075,3
row_43,335.72161086233336,352.3251339317137,314.57431554403803,334.82234095113785,346.5905365124674,396.6724089220222,427.0889837024598,368.2132534279558,415.7559380213348,388.54214700595867,384.2251943847514,430.00465113763596,441.97398113463646,489.61209135396155,556.5968020030299,332.52518701596125,344.15839376659113,320.9189928938454,355.81596366661233,559.6927728674009,566.4274004671737,549.7417575553088,455.3767670841366,455.3767670841366,430.6738905482894,3
row_44,1454.4861635643015,1499.8683275541223,1377.1437833429013,1353.1430079633121,1523.241280953218,1685.0415425146052,1818.027502542247,1640.1963297117818,1764.3265003961144,1681.733629324216,1982.253515572617,2245.722155566,1818.6280543310663,2152.8160627420075,1914.5090754551152,1446.199502143463,1510.2013110840555,1390.9583027538963,1573.2984459408838,1863.0042941442728,1940.0,1837.4514959584646,2310.8370777707373,2269.5270432405073,2245.722155566,3
row_45,438.2659010235681,450.8214724256155,388.6450823051798,398.03768665793444,447.0011185668331,493.323423323888,536.6796064692602,487.00821348309927,510.6045436538927,474.5966708690654,584.1549451986176,677.4488910611634,542.7089459369544,660.446061385788,555.9316504751281,417.4805384685614,438.2659010235681,395.72970573359794,460.0619523498982,975.5708415954293,974.866534903743,935.7731703286104,696.1407903578126,681.9325479840363,677.4488910611634,3
row_46,2334.7368160030373,2413.505541737992,2171.959714175196,2210.70870989373,2410.3481076392263,2577.1621990088247,2833.606888755037,2568.318126712499,2640.441061641028,2531.353787995665,2474.211187429238,2796.342074925741,2785.3920729405404,3031.8378914447258,3344.96307901896,2234.584972651521,2319.275964606196,2166.74687031042,2404.131859944458,3444.830619928939,3500.3612670694433,3344.96307901896,789.2594645531603,2838.3454687546405,2755.8944101688658,3
row_47,231.27689032845456,262.10303317588676,227.01982292302142,249.5375723212839,282.842712474619,298.6787571957537,363.8900932974131,307.8246253956951,360.1388621073821,345.77449298639715,370.55229050702144,790.4804128162561,375.7552394844282,478.9759910475681,573.0794011304192,222.8542124349459,239.74152748324602,212.43822631532208,247.2973918180295,610.5243647881713,601.5064421932653,586.1467393068053,789.2594645531603,794.1783243773126,803.7967387468432,3
row_48,516.9622810225133,503.4411584286688,480.9407447908734,458.1113401783457,538.9860851636154,569.2134924613084,606.601186942459,538.9860851636154,563.2131035407468,522.3830012548265,606.3480848489587,687.866992957214,583.3978059609069,693.3577720051893,588.6000339789321,495.04949247524735,516.9622810225133,472.1493407810711,538.8821763614009,710.8621526006291,710.8621526006291,563.540593036562,703.3249604556914,703.3249604556914,695.2078825790168,3
row_49,387.16017357161104,396.43410549547826,362.8291609008295,351.0697936308392,398.12812008196556,430.2615483633182,479.15028957520207,430.4427952701729,437.3705522780426,427.7312240180742,504.80095087073676,576.3896251668657,468.24993326214155,548.8360410905975,465.4889902027759,387.16017357161104,404.93085829558606,370.3970842217849,404.93085829558606,975.5708415954293,974.866534903743,451.64255778214704,603.3116939029112,591.6891075556487,584.3594784034909,3
row_50,315.93986769637036,327.6858251435359,291.6058984314275,281.55461281960913,331.48303123991127,363.1927862719743,404.63440288734716,354.268259938708,380.8648054100037,350.3055808861743,361.65314874890834,468.08653046205035,401.66279389557604,451.9347298006649,518.5836480260441,301.7018395701292,326.5715848018624,303.0659994126692,340.72422866594036,536.6796064692602,544.0533062118086,527.5945412909425,494.51794709595725,487.06159774714325,468.08653046205035,3
row_51,281.7800560721074,342.8541964159109,308.45745249547787,332.54323027239633,379.90656746100086,379.8697145074874,461.4000433463352,403.20962290104137,449.0044543208898,655.5139542352499,684.5744162168027,641.0896973123184,469.6594510919588,555.5474777190515,641.0896973123184,274.76535443901946,283.89434654462565,551.9123737134424,320.5448486561592,665.6823566837264,665.6823566837264,656.6650592196908,665.6823566837264,661.0975722236469,656.6650592196908,3
row_52,193.96133635340834,205.38743875904387,182.50753409106156,177.05366418123066,209.41107898103195,236.24775131204953,273.73892671668017,230.4951192541829,256.96108654813867,239.06902768865731,282.8992753613908,790.4804128162561,269.0074348414928,319.69516730785904,373.8769851167627,183.63550854886427,200.4120754844877,177.341478509682,209.65924735150605,394.7353543831614,394.7353543831614,376.3787985527346,789.2594645531603,794.1783243773126,803.7967387468432,3
row_53,269.5366394388711,288.6693610343848,256.30060475933334,278.72925931807015,318.1351913888182,332.0557182160849,389.5600082143956,337.3973918097175,380.5180679021694,363.5519220138989,470.68991916122445,557.0278269530168,398.8746670321393,494.00404856640597,430.00465113763596,269.5366394388711,281.2578887782528,257.8410362994999,292.02225942554446,447.6159067772279,447.6159067772279,421.7771923658272,577.7542730261715,561.8941181397079,567.3587930049202,3
row_54,733.9128013599436,816.6663945577778,691.4448640347255,785.5660379624363,924.4555154251609,975.7561170702442,1234.91902568549,992.0246972732081,1193.7043184976756,1106.3475945651078,1144.5776513631567,1367.9228779430514,1300.0680751406828,1605.7210218465723,1906.5384863673746,695.8290019825273,753.8255766422362,676.8256791818703,820.5394566990669,2032.2118491928936,2032.2118491928936,1938.3069932288847,1460.5375722657736,1460.5375722657736,1343.5542415548396,3
row_55,1524.1499270084948,1707.0328057773231,1509.5221098082664,1187.0770825856255,857.8636255256426,1839.4183863384644,706.5689153840887,743.1745750300039,1946.2630860189483,1808.849634436207,1640.9219969273372,1962.449489795852,2116.5273444961676,2496.4358593803286,2878.3675929248507,1517.9502626897893,1586.4740779476986,551.9123737134424,1728.106767534923,2988.4318630345247,3016.584989686185,2878.3675929248507,1971.6959704782073,1971.6959704782073,2032.6854158969115,4
row_56,428.7248534899744,422.9633553867285,383.8150596315887,302.5524747874325,485.74080053884484,470.5103612036615,557.541029880313,642.5900715074891,557.8826041381825,538.2053511439663,577.6235798510999,641.8473338730947,590.1084646062959,716.3965382384256,814.6287497995636,413.75959203382826,413.75959203382826,375.6660751252367,569.461772433292,859.1682023911267,859.1682023911267,818.049509504162,672.8833479883419,653.9120736001133,639.2495600311353,4
row_57,630.9928684224569,597.7374005363894,655.1679174074384,774.5566473796478,876.4274071479052,542.0193723475204,454.1563607393383,348.7377237982722,741.7715281675349,773.3104163271047,955.6971277554411,1105.9150057757604,712.2274917468435,760.516929463112,811.5497520177059,611.5398596984501,552.7307144343027,591.2740481367333,569.461772433292,843.0919285582089,843.0919285582089,830.838732847717,1179.5973889425154,1179.5973889425154,1104.8999954747035,4
row_58,305.74662712775756,367.4615626157381,322.3724553990306,230.7834482799839,157.20050890502867,412.24871133819204,504.0079364454492,581.106702766368,469.1609531919723,432.9803690700076,457.21985958617324,547.9096640870646,506.49481734762105,602.2001328462159,701.5924743039936,555.6192857136945,303.65934861288235,551.9123737134424,351.15950791627444,749.6185696739376,741.3123498229339,709.9577452215026,549.6589851899084,549.6589851899084,558.581238496246,4
row_59,451.92034696393125,424.23106911210544,394.44264475332784,326.8837713928301,248.07257002740147,468.328944226171,706.5689153840887,743.1745750300039,531.3266415304242,518.8333065638712,664.513355772478,739.1955086443639,556.8518654004852,526.3705918837031,551.8496171965693,448.4696199298231,552.7307144343027,402.20019890596774,569.461772433292,975.5708415954293,974.866534903743,935.7731703286104,772.0680021863359,772.0680021863359,747.6850941405746,4
row_60,1335.4916697606166,1327.6298429908843,1227.2428447540447,1086.3834498002996,995.0502499874065,1432.7156033211895,1655.8384583044326,1811.195461566752,1612.7901289380463,1593.4355964393415,1632.4536746872789,1737.6653878120494,1670.7139192572736,1951.9223857520565,2177.2425220907294,1297.5584765242759,1335.4916697606166,1222.074056675781,569.461772433292,2299.3140281396973,2299.3140281396973,2182.6316684223198,789.2594645531603,794.1783243773126,1772.1264063265917,4
row_61,1078.328335897745,990.050503762308,1077.3917579042454,1300.8385756887747,1460.0510265055807,914.3462145161427,768.3384670833551,630.9643413062263,1198.5407794480755,1262.7149321996633,1496.3211553673898,1699.1424307573511,1136.8064918885711,1132.609818075051,1203.3374422829202,1070.719384339333,552.7307144343027,1031.1803915901428,569.461772433292,1237.1095343582151,1211.9570949501472,1188.0930098270926,1812.1294103898872,1779.7159885779529,1667.656139616318,4
row_62,310.4126286090822,373.6549210167049,340.77118422777477,282.78083386255156,226.35370551417972,395.29482668003635,464.69129537791,743.1745750300039,464.16484140873916,437.2241987813575,405.86820520952364,514.1643706053542,490.39677812970996,603.8691911333116,726.0426984688986,555.6192857136945,315.77840331472953,551.9123737134424,346.19214318063314,755.413132001291,755.413132001291,735.6208262413456,515.4590187396084,515.4590187396084,531.6474395687428,4
row_63,478.92588153074377,587.7363354430285,515.9321660838758,369.52943049234926,1197.4013529305869,661.8919851456127,816.2597625756154,967.7174174313491,746.5072002331926,786.1704649756311,968.9024718721694,1197.4013529305869,727.670942116009,613.8020853662848,796.143831226494,478.92588153074377,504.4145120830684,551.9123737134424,584.8230501613288,802.8997446755105,809.189718174916,832.6583933402701,1221.9840424490003,1221.9840424490003,1230.2007966181782,4
row_64,370.3039292257105,439.6055049700811,479.8416405440445,557.4262283029029,485.74080053884484,402.0808376433774,335.1492204973779,315.6263613832026,599.7366088542536,607.1482520768712,684.5744162168027,790.4804128162561,570.8108268069203,553.3073287062083,923.4141987108429,555.6192857136945,360.40116536992497,551.9123737134424,387.85693238615704,975.5708415954293,974.866534903743,935.7731703286104,789.2594645531603,794.1783243773126,803.7967387468432,4
row_65,132.19682295728592,163.21764610482532,140.38874598770374,110.5350623105628,83.86894538504703,182.42806801586207,220.29298672449835,252.62224763468478,198.04039991880444,184.76471524617463,167.0478973228936,213.32838535928593,214.1494805036893,252.20031720836514,303.81902507907563,131.38112497615478,137.32079230764728,551.9123737134424,151.19854496654392,317.81913095344026,320.22023671217283,311.62316987027776,210.02142747824567,210.02142747824567,221.0,4
